Index,Institution,records,Share.of.133800.x,Long,Lat,Address
223,OREGON HEALTH SCIENCE UNIVERSITY,580,0.115,-122.1269,44.5672,OREGON HEALTH SCIENCE UNIVERSITY
225,OSAKA CITY UNIVERSITY,201,0.04,135.50218,34.69374,"OSAKA CITY UNIVERSITY, Osaka, Japan"
226,OSAKA UNIVERSITY,597,0.118,139.75309,35.68536,"OSAKA UNIVERSITY, Japan"
227,OSKAR KLEIN CTR,416,0.082,18.0649,59.33258,"OSKAR KLEIN Centre, Stockholm"
228,OTTAWA HOSPITAL RESEARCH INSTITUTE,1737,0.344,-75.69812,45.41117,"OTTAWA HOSPITAL RESEARCH INSTITUTE, Ottawa"
229,PALACKY UNIVERSITY OLOMOUC,467,0.092,17.25175,49.59552,PALACKY UNIVERSITY OLOMOUC
230,PEKING UNIVERSITY,257,0.051,116.39723,39.9075,"PEKING UNIVERSITY, Beijing, China"
231,PENN STATE UNIVERSITY,561,0.111,-82.560373,37.359085,"PENN STATE UNIVERSITY, USA"
233,PERIMETER INSTITUTE FOR THEORETICAL PHYSICS,304,0.06,-80.51639,43.4668,"PERIMETER INSTITUTE FOR THEORETICAL PHYSICS, Waterloo Canada"
234,PIERRE MARIE CURIE UNIVERSITY PARIS 6,1259,0.249,2,46,"PIERRE MARIE CURIE UNIVERSITY PARIS 6, France"
235,POLISH ACADEMY OF SCIENCE,581,0.115,21.01178,52.22977,"POLISH ACADEMY OF SCIENCE, Warsaw"
236,POLYTECHNIC UNIVERSITY OF BUCHAREST,425,0.084,26.10626,44.43225,POLYTECHNIC UNIVERSITY OF BUCHAREST
237,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,651,0.129,-71,-30,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
238,PRES UNIVERSITE DE TOULOUSE,318,0.063,1.44367,43.60426,PRES UNIVERSITE DE TOULOUSE
239,PRES UNIVERSITY OF LYON,523,0.103,4.84671,45.74846,PRES UNIVERSITY OF LYON
240,PRES UNIVERSITY SORBONNE PARIS CITE,1649,0.326,2.34627,48.85523,PRES UNIVERSITY SORBONNE PARIS CITE
241,PRINCETON UNIVERSITY,588,0.116,-74.65682,40.34285,PRINCETON UNIVERSITY
242,PSL RESEARCH UNIVERSITY PARIS,459,0.091,2.3488,48.85341,PSL RESEARCH UNIVERSITY PARIS
243,PUBL HLTH AGCY CANADA,498,0.099,-113.64258,60.10867,PUBL HLTH AGCY CANADA
244,PUBL HLTH ONTARIO,307,0.061,-84.49983,49.25014,PUBL HLTH ONTARIO
245,PURDUE UNIVERSITY,472,0.093,-86.92251,40.42809,PURDUE UNIVERSITY
246,QIMR BERGHOFER MEDICAL RESEARCH INSTITUTE,214,0.042,153.02809,-27.46794,"QIMR BERGHOFER MEDICAL RESEARCH INSTITUTE, Brisbane, Queensland"
247,QUEEN MARY UNIVERSITY LONDON,712,0.141,-0.1278328,51.5072648,QUEEN MARY UNIVERSITY LONDON
248,QUEENS UNIVERSITY CANADA,2395,0.474,-105.50115,50.38335,QUEENS UNIVERSITY CANADA
249,RADBOUD UNIVERSITY NIJMEGEN,1073,0.212,5.85278,51.8425,RADBOUD UNIVERSITY NIJMEGEN
250,RITSUMEIKAN UNIVERSITY,419,0.083,135.75385,35.02107,"RITSUMEIKAN UNIVERSITY, Kyoto, Japan"
251,ROCHE HOLDING,310,0.061,7.57327,47.5584,"ROCHE HOLDING, Basel, Switzerland"
252,ROCKEFELLER UNIVERSITY,249,0.049,-73.95486,40.7626,ROCKEFELLER UNIVERSITY
253,ROMA TRE UNIVERSITY,443,0.088,12.4839,41.89474,"ROMA TRE UNIVERSITY, Rome, Italy"
254,ROSWELL PK CANC INST,259,0.051,-78.87837,42.88645,"Roswell Park Cancer Institute, Buffalo"
255,ROYAL HOLLOWAY UNIVERSITY LONDON,429,0.085,-0.1278328,51.5072648,ROYAL HOLLOWAY UNIVERSITY LONDON
256,ROYAL INSTITUTE OF TECHNOLOGY,473,0.094,18.0735,59.34783,ROYAL INSTITUTE OF TECHNOLOGY
257,ROYAL ONTARIO MUSEUM,465,0.092,-79.4163,43.70011,"ROYAL ONTARIO MUSEUM, Toronto"
258,RUPRECHT KARL UNIVERSITY HEIDELBERG,1164,0.23,8.69079,49.40768,RUPRECHT KARL UNIVERSITY HEIDELBERG
259,RUSH UNIVERSITY,214,0.042,-87.6695,41.87364,RUSH UNIVERSITY
260,RUSSIAN ACADEMY OF SCIENCES,816,0.161,37.5,55.75,"RUSSIAN ACADEMY OF SCIENCES, moscow"
261,RUTGERS STATE UNIVERSITY,578,0.114,-74.49987,40.16706,"RUTGERS STATE UNIVERSITY, New Jersey"
262,RWTH AACHEN UNIVERSITY,277,0.055,6.08342,50.77664,"RWTH AACHEN UNIVERSITY, Aachen, Germany"
263,RYERSON UNIVERSITY,4861,0.962,-79.38017,43.65774,RYERSON UNIVERSITY
264,SAPIENZA UNIVERSITY ROME,1018,0.201,12.4839,41.89474,SAPIENZA UNIVERSITY ROME
265,SEOUL NATIONAL UNIVERSITY HOSPITAL,225,0.045,103.78306,1.29528,SEOUL NATIONAL UNIVERSITY HOSPITAL
266,SEOUL NATIONAL UNIVERSITY,689,0.136,126.97783,37.56826,"SEOUL NATIONAL UNIVERSITY, Seoul"
267,SHANDONG UNIVERSITY,487,0.096,105,35,"SHANDONG UNIVERSITY, China"
268,SHANGHAI JIAO TONG UNIVERSITY,432,0.085,105,35,"SHANGHAI JIAO TONG UNIVERSITY, China"
269,SHINSHU UNIVERSITY,432,0.085,139.75309,35.68536,"SHINSHU UNIVERSITY, Japan"
270,SIMON FRASER UNIVERSITY,1302,0.258,-105.50115,50.38335,"SIMON FRASER UNIVERSITY, Canada"
271,SLAC NATL ACCELERATOR LAB,461,0.091,-122.18219,37.45383,"SLAC National Accelerator Laboratory, Menlo Park"
272,SLOVAK ACADEMY OF SCIENCES,623,0.123,17.10674,48.14816,"SLOVAK ACADEMY OF SCIENCES, Bratislava"
273,SMITHSONIAN INSTITUTION,392,0.078,-77.02581,38.88872,SMITHSONIAN INSTITUTION
274,SOUTHERN METHODIST UNIVERSITY,531,0.105,-96.78417,32.84513,SOUTHERN METHODIST UNIVERSITY
275,SOUTHLAKE REG HLTH CTR,342,0.068,-79.46631,44.05011,"Southlake Regional Health Centre Foundation, Newmarket, Canada"
276,ST JOSEPHS HEALTHCARE,568,0.112,11.972,51.483,ST JOSEPHS HEALTHCARE
277,ST JOSEPHS HEALTHCARE HAMILTON,281,0.056,-84.54277,39.19553,ST JOSEPHS HEALTHCARE HAMILTON
278,ST JUDE CHILDREN S RESEARCH HOSPITAL,274,0.054,11.972,51.483,ST JUDE CHILDREN S RESEARCH HOSPITAL
279,GUY S ST THOMAS NHS FOUNDATION TRUST,209,0.041,-3.5418527,50.7168857,"St Thomas Hospital, London, England"
280,STANFORD UNIVERSITY,1585,0.314,-122.17024,37.42716,STANFORD UNIVERSITY
281,STATE UNIVERSITY OF NEW YORK SUNY ALBANY,502,0.099,-73.97356,42.60018,STATE UNIVERSITY OF NEW YORK SUNY ALBANY
282,STATE UNIVERSITY OF NEW YORK SUNY BUFFALO,469,0.093,-78.87837,42.88645,STATE UNIVERSITY OF NEW YORK SUNY BUFFALO
283,STATE UNIVERSITY OF NEW YORK SUNY STONY BROOK,759,0.15,-73.14094,40.92565,STATE UNIVERSITY OF NEW YORK SUNY STONY BROOK
284,STFC RUTHERFORD APPLETON LABORATORY,669,0.132,-1.25,51.83333,"STFC RUTHERFORD APPLETON LABORATORY,  Oxfordshire, United Kingdom"
285,STOCKHOLM UNIVERSITY,758,0.15,18.0776,59.5344,STOCKHOLM UNIVERSITY
286,SUN YAT SEN UNIVERSITY,536,0.106,113.25,23.11667,"SUN YAT SEN UNIVERSITY, Guangzhou, Guangdong, China"
287,SUNGKYUNKWAN UNIVERSITY,348,0.069,126.97783,37.56826,"SUNGKYUNKWAN UNIVERSITY, Seoul, South Korea"
288,SWISS FEDERAL INSTITUTE OF TECHNOLOGY ZURICH,351,0.069,8.55,47.36667,SWISS FEDERAL INSTITUTE OF TECHNOLOGY ZURICH
289,IVANE JAVAKHISHVILI TBILISI STATE UNIVERSITY,424,0.084,-83.264719,30.820826,"Tbilisi State University, Georgia"
290,TECHNICAL UNIVERSITY OF MUNICH,340,0.067,11.56729,48.14912,TECHNICAL UNIVERSITY OF MUNICH
291,TECHNION ISRAEL INSTITUTE OF TECHNOLOGY,626,0.124,34.75,31.5,TECHNION ISRAEL INSTITUTE OF TECHNOLOGY
292,TEL AVIV UNIVERSITY,935,0.185,34.80353,32.1134,TEL AVIV UNIVERSITY
293,TEXAS A M UNIVERSITY COLLEGE STATION,322,0.064,-96.33441,30.62798,TEXAS A M UNIVERSITY COLLEGE STATION
295,THOMAS JEFFERSON UNIVERSITY,342,0.068,-75.16379,39.95234,"THOMAS JEFFERSON UNIVERSITY, Philadelphia"
296,TOBB EKONOMI VE TEKNOLOJI UNIVERSITY,451,0.089,32.85427,39.91987,"TOBB University of Economics and Technology, Ankara, Turkey"
297,TOKYO INSTITUTE OF TECHNOLOGY,515,0.102,139.75309,35.68536,"TOKYO INSTITUTE OF TECHNOLOGY, Japan"
298,TOKYO METROPOLITAN UNIVERSITY,489,0.097,139.69171,35.6895,"TOKYO METROPOLITAN UNIVERSITY, Tokyo Japan"
299,TOM BAKER CANCER CLINIC,276,0.055,-114.08529,51.05011,"Tom Baker Cancer Centre, Calgary"
300,TORONTO REHABIL INST,249,0.049,-79.4163,43.70011,"TORONTO REHABILitation INSTitute, Toronto Canada"
301,TRENT UNIVERSITY,282,0.056,-78.31623,44.30012,"TRENT UNIVERSITY, Peterborough Canada"
302,TRINITY COLLEGE DUBLIN,220,0.044,-6.27113,53.38046,TRINITY COLLEGE DUBLIN
303,TSINGHUA UNIVERSITY,228,0.045,105,35,"TSINGHUA UNIVERSITY, China"
304,TUFTS UNIVERSITY,965,0.191,-71.11978,42.40454,TUFTS UNIVERSITY
305,UNICANCER,534,0.106,2.3488,48.85341,"UNICANCER, Paris"
306,UNITED STATES DEPARTMENT OF AGRICULTURE USDA,213,0.042,-97,38,UNITED STATES DEPARTMENT OF AGRICULTURE USDA
307,UNITED STATES DEPARTMENT OF ENERGY DOE,1777,0.352,-97,38,UNITED STATES DEPARTMENT OF ENERGY DOE
308,UNIV ANTONIO NARINO,430,0.085,-74.10151,4.58562,UNIV ANTONIO NARINO
309,UNIV CLERMONT FERRAND,404,0.08,3.08628,45.77966,UNIV CLERMONT FERRAND
310,UNIV COLORADO,372,0.074,-105.50083,39.00027,UNIV COLORADO
311,UNIV NAPOLI PARTHENOPE,411,0.081,14.25,40.83333,UNIV NAPOLI PARTHENOPE
312,UNIV SIEGEN,441,0.087,8.02431,50.87482,UNIV SIEGEN
313,UNIV TORONTO,604,0.12,-79.4163,43.70011,UNIV TORONTO
314,UNIVERSIDAD DE CANTABRIA,263,0.052,-4,43.16667,UNIVERSIDAD DE CANTABRIA
315,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,452,0.089,-71.59582,-33.03491,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA
316,UNIVERSIDADE DE COIMBRA,474,0.094,-8.41955,40.20564,UNIVERSIDADE DE COIMBRA
317,UNIVERSIDADE DE LISBOA,556,0.11,-9.13333,38.71667,UNIVERSIDADE DE LISBOA
318,UNIVERSIDADE DE SAO PAULO,897,0.177,-46.63611,-23.5475,UNIVERSIDADE DE SAO PAULO
319,UNIVERSIDADE DO MINHO,420,0.083,-8.13057,39.6945,"UNIVERSIDADE DO MINHO, Portugal"
320,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,372,0.074,-43.35028,-21.76417,UNIVERSIDADE FEDERAL DE JUIZ DE FORA
321,UNIVERSIDADE FEDERAL DE SAO JOAO DEL REI,367,0.073,-44.26167,-21.13556,UNIVERSIDADE FEDERAL DE SAO JOAO DEL REI
322,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,543,0.107,-43.2075,-22.90278,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO
323,UNIVERSIDADE NOVA DE LISBOA,301,0.06,-9.13333,38.71667,UNIVERSIDADE NOVA DE LISBOA
324,LPTPM,372,0.074,1.33452,36.16525,"UNIVERSITE HASSIBA BENBOUALI DE CHLEF, Chlef, Algeria"
325,UNIVERSITE LIBRE DE BRUXELLES,225,0.045,4.34878,50.85045,UNIVERSITE LIBRE DE BRUXELLES
326,UNIVERSITY COLLEGE DUBLIN,241,0.048,-6.27113,53.38046,UNIVERSITY COLLEGE DUBLIN
327,UNIVERSITY COLLEGE LONDON,2390,0.473,-0.1278328,51.5072648,UNIVERSITY COLLEGE LONDON
328,UNIVERSITY HOSPITAL LEUVEN,383,0.076,4.70093,50.87959,UNIVERSITY HOSPITAL LEUVEN
329,UNIVERSITY OF ABERDEEN,242,0.048,-2.10045,57.16543,UNIVERSITY OF ABERDEEN
330,UNIVERSITY OF ADELAIDE,497,0.098,138.60396,-34.91973,UNIVERSITY OF ADELAIDE
331,UNIVERSITY OF AIX MARSEILLE,921,0.182,5.38107,43.29695,UNIVERSITY OF AIX MARSEILLE
332,UNIVERSITY OF ALABAMA BIRMINGHAM,604,0.12,-1.8980725,52.4813678,UNIVERSITY OF ALABAMA BIRMINGHAM
333,UNIVERSITY OF ALBERTA,3490,0.691,-113.52572,53.52641,UNIVERSITY OF ALBERTA
334,UNIVERSITY OF AMSTERDAM,1149,0.227,4.89017,52.3688,UNIVERSITY OF AMSTERDAM
335,UNIVERSITY OF ARIZONA,958,0.19,-110.95347,32.23188,UNIVERSITY OF ARIZONA
336,UNIVERSITY OF ATHENS,795,0.157,23.71622,37.97945,UNIVERSITY OF ATHENS
337,UNIVERSITY OF AUCKLAND,212,0.042,174.76667,-36.86667,UNIVERSITY OF AUCKLAND
338,UNIVERSITY OF BARCELONA,466,0.092,2.15899,41.38879,UNIVERSITY OF BARCELONA
339,UNIVERSITY OF BASEL,430,0.085,7.57327,47.5584,UNIVERSITY OF BASEL
340,UNIVERSITY OF BELGRADE,537,0.106,20.46513,44.80401,UNIVERSITY OF BELGRADE
341,UNIVERSITY OF BERGEN,559,0.111,-74.07441,40.95977,UNIVERSITY OF BERGEN
342,UNIVERSITY OF BERN,741,0.147,7.44744,46.94809,UNIVERSITY OF BERN
343,UNIVERSITY OF BIRMINGHAM,927,0.183,-1.8980725,52.4813678,UNIVERSITY OF BIRMINGHAM
344,UNIVERSITY OF BOLOGNA,832,0.165,11.33875,44.49381,UNIVERSITY OF BOLOGNA
345,UNIVERSITY OF BONN,813,0.161,7.1002,50.73616,UNIVERSITY OF BONN
346,UNIVERSITY OF BRISTOL,431,0.085,-71.08852,41.75709,UNIVERSITY OF BRISTOL
347,UNIVERSITY OF BRITISH COLUMBIA,5662,1.12,-123.25184,49.26344,UNIVERSITY OF BRITISH COLUMBIA
348,UNIVERSITY OF BUENOS AIRES,632,0.125,-58.37306,-34.59972,UNIVERSITY OF BUENOS AIRES
349,UNIVERSITY OF CALABRIA,484,0.096,16.5,39,UNIVERSITY OF CALABRIA
350,UNIVERSITY OF CALGARY,3274,0.648,-114.13305,51.0775,UNIVERSITY OF CALGARY
351,UNIVERSITY OF CALIFORNIA BERKELEY,1320,0.261,-122.27275,37.87159,UNIVERSITY OF CALIFORNIA BERKELEY
352,UNIVERSITY OF CALIFORNIA DAVIS,684,0.135,-121.74052,38.54491,UNIVERSITY OF CALIFORNIA DAVIS
353,UNIVERSITY OF CALIFORNIA IRVINE,1026,0.203,-117.82311,33.66946,UNIVERSITY OF CALIFORNIA IRVINE
354,UNIVERSITY OF CALIFORNIA LOS ANGELES,1487,0.294,-118.44455,34.07062,UNIVERSITY OF CALIFORNIA LOS ANGELES
355,UNIVERSITY OF CALIFORNIA SAN DIEGO,1105,0.219,-117.15726,32.71533,UNIVERSITY OF CALIFORNIA SAN DIEGO
356,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,1547,0.306,-122.44826,37.78607,UNIVERSITY OF CALIFORNIA SAN FRANCISCO
357,UNIVERSITY OF CALIFORNIA SANTA BARBARA,329,0.065,-119.69819,34.42083,UNIVERSITY OF CALIFORNIA SANTA BARBARA
358,UNIVERSITY OF CALIFORNIA SANTA CRUZ,609,0.121,-122.05274,36.99745,UNIVERSITY OF CALIFORNIA SANTA CRUZ
359,UNIVERSITY OF CAMBRIDGE,1731,0.343,0.124862,52.2033051,UNIVERSITY OF CAMBRIDGE
360,UNIVERSITY OF CAPE TOWN,596,0.118,18.46082,-33.95796,UNIVERSITY OF CAPE TOWN
361,UNIVERSITY OF CHICAGO,1670,0.33,-87.59977,41.78976,UNIVERSITY OF CHICAGO
362,UNIVERSITY OF CINCINNATI,331,0.065,-84.51633,39.13145,UNIVERSITY OF CINCINNATI
363,UNIVERSITY OF COLOGNE,252,0.05,6.92826,50.9282,UNIVERSITY OF COLOGNE
364,UNIVERSITY OF COLORADO BOULDER,470,0.093,-105.26902,40.00915,UNIVERSITY OF COLORADO BOULDER
365,UNIVERSITY OF COLORADO HEALTH SCIENCE CENTER,304,0.06,2.16667,7.25,UNIVERSITY OF COLORADO HEALTH SCIENCE CENTER
366,UNIVERSITY OF COPENHAGEN,1282,0.254,12.56553,55.67594,UNIVERSITY OF COPENHAGEN
367,UNIVERSITY OF DUISBURG ESSEN,206,0.041,7.01228,51.45657,UNIVERSITY OF DUISBURG ESSEN
368,UNIVERSITY OF EDINBURGH,1147,0.227,-3.1932723,55.9483399,UNIVERSITY OF EDINBURGH
369,UNIVERSITY OF ERLANGEN NUREMBERG,332,0.066,11.07752,49.45421,UNIVERSITY OF ERLANGEN NUREMBERG
370,UNIVERSITY OF EXETER,242,0.048,-3.53365,50.73466,UNIVERSITY OF EXETER
371,UNIVERSITY OF FLORIDA,701,0.139,-82.463843,27.945565,UNIVERSITY OF FLORIDA
372,UNIVERSITY OF FREIBURG,781,0.155,7.16667,46.66667,UNIVERSITY OF FREIBURG
373,UNIVERSITY OF GENEVA,1045,0.207,6.14239,46.19954,UNIVERSITY OF GENEVA
374,UNIVERSITY OF GENOA,623,0.123,8.93386,44.40632,UNIVERSITY OF GENOA
375,UNIVERSITY OF GLASGOW,1082,0.214,-4.2499891,55.861147,UNIVERSITY OF GLASGOW
376,UNIVERSITY OF GOTHENBURG,232,0.046,11.96679,57.70716,UNIVERSITY OF GOTHENBURG
377,UNIVERSITY OF GOTTINGEN,655,0.13,9.93406,51.53933,UNIVERSITY OF GOTTINGEN
378,UNIVERSITY OF GRANADA,564,0.112,-3.60667,37.18817,UNIVERSITY OF GRANADA
379,UNIVERSITY OF GRONINGEN,669,0.132,6.56479,53.22368,UNIVERSITY OF GRONINGEN
380,UNIVERSITY OF GUELPH,1188,0.235,-80.22869,43.53106,UNIVERSITY OF GUELPH
381,UNIVERSITY OF HAMBURG,788,0.156,9.98389,53.5669,UNIVERSITY OF HAMBURG
382,UNIV HASSAN 2,380,0.075,-7.61138,33.58831,"University of Hassan II, Casablanca"
383,UNIVERSITY OF HELSINKI,765,0.151,24.93545,60.16952,UNIVERSITY OF HELSINKI
384,UNIVERSITY OF HONG KONG,290,0.057,114.15769,22.28552,UNIVERSITY OF HONG KONG
385,UNIVERSITY OF ILLINOIS CHICAGO,331,0.065,-87.65005,41.85003,UNIVERSITY OF ILLINOIS CHICAGO
386,UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL,329,0.065,-87.65005,41.85003,"UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL, chicago"
387,UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN,924,0.183,-88.20727,40.11059,UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN
388,UNIVERSITY OF INNSBRUCK,458,0.091,11.39454,47.26266,UNIVERSITY OF INNSBRUCK
389,UNIVERSITY OF IOWA,775,0.153,-92.611755,41.282704,UNIVERSITY OF IOWA
390,UNIVERSITY OF JOHANNESBURG,432,0.085,27.99889,-26.18333,UNIVERSITY OF JOHANNESBURG
391,UNIVERSITY OF KANSAS,366,0.072,-98.50063,38.50029,UNIVERSITY OF KANSAS
392,UNIVERSITY OF KIEL,219,0.043,10.13489,54.32133,UNIVERSITY OF KIEL
393,UNIVERSITY OF KWAZULU NATAL,457,0.09,30,-29,UNIVERSITY OF KWAZULU NATAL
394,UNIVERSITY OF LAUSANNE,331,0.065,6.63282,46.516,UNIVERSITY OF LAUSANNE
395,UNIVERSITY OF LEEDS,462,0.091,-1.5437941,53.7974185,UNIVERSITY OF LEEDS
396,UNIVERSITY OF LEICESTER,267,0.053,-1.12444,52.62139,UNIVERSITY OF LEICESTER
397,UNIVERSITY OF LIVERPOOL,896,0.177,-2.9805393,53.4054719,UNIVERSITY OF LIVERPOOL
398,UNIVERSITY OF LJUBLJANA,472,0.093,14.50513,46.05108,UNIVERSITY OF LJUBLJANA
399,UNIVERSITY OF LONDON,3669,0.726,-0.1278328,51.5072648,UNIVERSITY OF LONDON
400,UNIVERSITI MALAYA,251,0.05,101.68653,3.1412,"University of Malaya, Kuala Lumpur, Malaysia"
401,UNIVERSITY OF MANCHESTER,1190,0.235,-2.23388,53.46557,UNIVERSITY OF MANCHESTER
402,UNIVERSITY OF MANITOBA,2081,0.412,-97.00049,55.00019,UNIVERSITY OF MANITOBA
403,UNIVERSITY OF MARYLAND BALTIMORE,385,0.076,-76.61632,39.44307,UNIVERSITY OF MARYLAND BALTIMORE
404,UNIVERSITY OF MARYLAND COLLEGE PARK,398,0.079,-76.93692,38.98067,UNIVERSITY OF MARYLAND COLLEGE PARK
405,UNIVERSITY OF MASSACHUSETTS AMHERST,669,0.132,-72.51925,42.37537,UNIVERSITY OF MASSACHUSETTS AMHERST
406,UNIVERSITY OF MASSACHUSETTS WORCESTER,279,0.055,-71.80229,42.26259,UNIVERSITY OF MASSACHUSETTS WORCESTER
407,UNIVERSITY OF MELBOURNE,1319,0.261,144.96332,-37.814,UNIVERSITY OF MELBOURNE
408,UNIVERSITY OF MIAMI,489,0.097,-80.27866,25.71955,UNIVERSITY OF MIAMI
409,UNIVERSITY OF MICHIGAN,2105,0.417,-83.994328,43.556574,UNIVERSITY OF MICHIGAN
410,UNIVERSITY OF MILAN,787,0.156,9.18951,45.46427,UNIVERSITY OF MILAN
411,UNIVERSITY OF MINNESOTA TWIN CITIES,958,0.19,-121.31106,38.29103,UNIVERSITY OF MINNESOTA TWIN CITIES
412,UNIVERSITY OF MISSISSIPPI,222,0.044,-89.529566,34.364854,UNIVERSITY OF MISSISSIPPI
413,UNIVERSITY OF MONTREAL,3158,0.625,-73.58781,45.50884,UNIVERSITY OF MONTREAL
414,UNIVERSITY OF MUNICH,1074,0.213,11.57549,48.13743,UNIVERSITY OF MUNICH
415,UNIVERSITY OF MUNSTER,230,0.046,-8.71667,52.34333,UNIVERSITY OF MUNSTER
416,UNIVERSITY OF NAPLES FEDERICO II,611,0.121,-10,16.5,UNIVERSITY OF NAPLES FEDERICO II
417,UNIVERSITY OF NEW MEXICO,839,0.166,-106.74746,32.285869,UNIVERSITY OF NEW MEXICO
418,UNIVERSITY OF NEW SOUTH WALES,342,0.068,146,-33,UNIVERSITY OF NEW SOUTH WALES
419,UNIVERSITY OF NORTH CAROLINA,1193,0.236,-78.944036,35.96745,UNIVERSITY OF NORTH CAROLINA
420,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,943,0.187,-79.05584,35.9132,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL
421,UNIVERSITY OF NOTTINGHAM,412,0.082,-1.1487384,52.9533834,UNIVERSITY OF NOTTINGHAM
422,UNIVERSITY OF OKLAHOMA,729,0.144,-97.53584,35.58226,UNIVERSITY OF OKLAHOMA
423,UNIVERSITY OF ONTARIO INSTITUTE TECHNOLOGY,1800,0.356,-78.84957,43.90012,"UNIVERSITY OF ONTARIO INSTITUTE TECHNOLOGY, Oshawa"
424,UNIVERSITY OF OREGON,516,0.102,-122.717069,45.575593,UNIVERSITY OF OREGON
425,UNIVERSITY OF OSLO,935,0.185,10.7227,59.94025,UNIVERSITY OF OSLO
426,UNIVERSITY OF OTAGO,225,0.045,170.51107,-45.88445,UNIVERSITY OF OTAGO
427,UNIVERSITY OF OTTAWA,4545,0.899,-75.68348,45.42389,UNIVERSITY OF OTTAWA
428,UNIVERSITY OF OXFORD,2061,0.408,-1.25596,51.75222,UNIVERSITY OF OXFORD
429,UNIVERSITY OF PADUA,658,0.13,11.88181,45.41519,UNIVERSITY OF PADUA
430,UNIVERSITY OF PARIS DESCARTES PARIS V,444,0.088,-0.83333,39.33333,UNIVERSITY OF PARIS DESCARTES PARIS V
431,UNIVERSITY OF PARIS DIDEROT PARIS VII,1204,0.238,-10.07111,20.50222,UNIVERSITY OF PARIS DIDEROT PARIS VII
432,UNIVERSITY OF PARIS SUD PARIS XI,1019,0.202,-9,24,UNIVERSITY OF PARIS SUD PARIS XI
433,UNIVERSITY OF PAUL SABATIER TOULOUSE III,261,0.052,46.126,13.6291,UNIVERSITY OF PAUL SABATIER TOULOUSE III
434,UNIVERSITY OF PAVIA,564,0.112,9.16145,45.18446,UNIVERSITY OF PAVIA
435,UNIVERSITY OF PENNSYLVANIA,2486,0.492,-75.372979,40.606451,UNIVERSITY OF PENNSYLVANIA
436,UNIVERSITY OF PISA,753,0.149,10.39659,43.71553,UNIVERSITY OF PISA
437,UNIVERSITY OF PITTSBURGH,1870,0.37,-79.95922,40.44285,UNIVERSITY OF PITTSBURGH
438,UNIVERSITY OF QUEBEC,355,0.07,-71.21454,46.81228,UNIVERSITY OF QUEBEC
439,UNIVERSITY OF QUEENSLAND,504,0.1,145,-20,UNIVERSITY OF QUEENSLAND
440,UNIVERSITY OF REGINA,562,0.111,-104.6178,50.45008,UNIVERSITY OF REGINA
441,UNIVERSITY OF ROCHESTER,682,0.135,-77.62806,43.12923,UNIVERSITY OF ROCHESTER
442,UNIVERSITY OF ROME TOR VERGATA,632,0.125,12.4839,41.89474,"UNIVERSITY OF ROME TOR VERGATA, Rome"
443,UNIVERSITY OF SALENTO,438,0.087,18.16753,40.35657,UNIVERSITY OF SALENTO
444,UNIVERSITY OF SASKATCHEWAN,899,0.178,-105.50115,50.38335,UNIVERSITY OF SASKATCHEWAN
445,UNIVERSITY OF SAVOIE,503,0.1,6.41667,45.5,UNIVERSITY OF SAVOIE
446,UNIVERSITY OF SCIENCE TECHNOLOGY OF CHINA,595,0.118,105,35,UNIVERSITY OF SCIENCE TECHNOLOGY OF CHINA
447,UNIVERSITY OF SHEFFIELD,779,0.154,-1.4528791,53.3856729,UNIVERSITY OF SHEFFIELD
448,UNIVERSITY OF SHERBROOKE,684,0.135,-71.89908,45.40008,UNIVERSITY OF SHERBROOKE
449,UNIVERSITY OF SIENA,271,0.054,11.33283,43.32004,UNIVERSITY OF SIENA
450,UNIVERSITY OF SOUTH CAROLINA,510,0.101,-81.02648,33.99904,UNIVERSITY OF SOUTH CAROLINA
451,UNIVERSITY OF SOUTH CAROLINA COLUMBIA,507,0.1,-81.03481,34.00071,UNIVERSITY OF SOUTH CAROLINA COLUMBIA
452,UNIVERSITY OF SOUTH FLORIDA,460,0.091,-82.465119,27.948177,UNIVERSITY OF SOUTH FLORIDA
453,UNIVERSITY OF SOUTHAMPTON,384,0.076,-1.4041996,50.9035305,UNIVERSITY OF SOUTHAMPTON
454,UNIVERSITY OF SOUTHERN CALIFORNIA,746,0.148,-117.228836,32.868567,UNIVERSITY OF SOUTHERN CALIFORNIA
455,UNIVERSITY OF SUSSEX,580,0.115,-75.33954,38.6833,UNIVERSITY OF SUSSEX
456,UNIVERSITY OF SYDNEY,1272,0.252,151.18722,-33.88778,UNIVERSITY OF SYDNEY
